id,year,name,date,position,game_id,posteam,ATT,COMP,FUM,HIT,INT,LONG,LST,PAT_Attempt,PAT_Made,PAT_percent,RATT,REC,RECTD,RECYDS,RTD,RYDS,SACK,TD,TGTS,YDS,attempt,long,longest,med,percent,short
00-0004091,2014,P.Dawson,20140907,RB,2014090710,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,6.0,730.0,5.0,10.666666666666666,14.0
00-0004091,2015,P.Dawson,20150914,K,2015091401,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,3.0,662.0,6.0,12.166666666666666,15.0
00-0004091,2016,P.Dawson,20160912,RB,2016091201,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,31.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,634.0,7.0,9.833333333333332,10.0
00-0004091,2017,P.Dawson,20170910,K,2017091004,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,21.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,4.0,676.0,10.0,10.716666666666667,18.0
00-0004091,2018,P.Dawson,20180923,RB,2018092311,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,304.0,1.0,3.833333333333333,4.0
00-0004161,2009,J.Delhomme,20090913,QB,2009091302,CAR,321.0,178.0,2.0,40.0,18.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,65.0,23.0,12.0,0.0,2017.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0004161,2010,J.Delhomme,20100912,QB,2010091200,CLE,148.0,94.0,1.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,0.0,887.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0004161,2011,J.Delhomme,20120101,QB,2012010104,HOU,28.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0004541,2009,D.Driver,20090913,WR,2009091312,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,70.0,7.0,1061.0,0.0,13.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0004541,2010,D.Driver,20100912,WR,2010091210,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,4.0,565.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
