Year,Coach,G,W,L,T,W-L%,G,W,L,Result,Offense,Defense,Team
2004,Marty Schottenheimer,16,12,4,0,0.75,1,0,1,Lost WC,Cam Cameron,Wade Phillips,Chragers
2003,Marty Schottenheimer,16,4,12,0,0.25,0,0,0,,Cam Cameron,Dale Lindsey,Chragers
2002,Marty Schottenheimer,16,8,8,0,0.5,0,0,0,,Cam Cameron,Dale Lindsey,Chragers
2001,Mike Riley,16,5,11,0,0.313,0,0,0,,Norv Turner,"Mark Banker, Joe Pascale, Jim Vechiarella",Chragers
2000,Mike Riley,16,1,15,0,0.063,0,0,0,,Geep Chryst,Joe Pascale,Chragers
1999,Mike Riley,16,8,8,0,0.5,0,0,0,,Geep Chryst,Joe Pascale,Chragers
1998,June Jones,10,3,7,0,0.3,0,0,0,,Mike Sheppard,Joe Pascale,Chragers
,Kevin Gilbride,6,2,4,0,0.333,0,0,0,,Mike Sheppard,Joe Pascale,Chragers
1997,Kevin Gilbride,16,4,12,0,0.25,0,0,0,,Mike Sheppard,Joe Pascale,Chragers
1996,Bobby Ross,16,8,8,0,0.5,0,0,0,,Ralph Friedgen,Dave Adolph,Chragers
1995,Bobby Ross,16,9,7,0,0.563,1,0,1,Lost WC,Ralph Friedgen,Dave Adolph,Chragers
1994,Bobby Ross,16,11,5,0,0.688,3,2,1,Lost SB,Ralph Friedgen,Bill Arnsparger,Chragers
1993,Bobby Ross,16,8,8,0,0.5,0,0,0,,,Bill Arnsparger,Chragers
1992,Bobby Ross,16,11,5,0,0.688,2,1,1,Lost Div,,Bill Arnsparger,Chragers
1991,Dan Henning,16,4,12,0,0.25,0,0,0,,Ted Tollner,Ron Lynn,Chragers
1990,Dan Henning,16,6,10,0,0.375,0,0,0,,,Ron Lynn,Chragers
1989,Dan Henning,16,6,10,0,0.375,0,0,0,,Larry Beightol,Ron Lynn,Chragers
1988,Al Saunders,16,6,10,0,0.375,0,0,0,,Jerry Rhome,Ron Lynn,Chragers
1987,Al Saunders,15,8,7,0,0.533,0,0,0,,Dave Levy,Ron Lynn,Chragers
1986,Don Coryell,8,1,7,0,0.125,0,0,0,,Ernie Zampese,Ron Lynn,Chragers
