Year,Coach,G,W,L,T,W-L%,G,W,L,Result,Offense,Defense,Team
2018,Doug Pederson,16,9,7,0,0.563,2,1,1,Lost Div,Mike Groh,Jim Schwartz,Eagles
2017,Doug Pederson,16,13,3,0,0.813,3,3,0,Won SB,Frank Reich,Jim Schwartz,Eagles
2016,Doug Pederson,16,7,9,0,0.438,,,,,Frank Reich,Jim Schwartz,Eagles
2015,Pat Shurmur,1,1,0,0,1,,,,,,Bill Davis,Eagles
,Chip Kelly,15,6,9,0,0.4,0,0,0,,Pat Shurmur,Bill Davis,Eagles
2014,Chip Kelly,16,10,6,0,0.625,0,0,0,,Pat Shurmur,Bill Davis,Eagles
2013,Chip Kelly,16,10,6,0,0.625,1,0,1,Lost WC,Pat Shurmur,Bill Davis,Eagles
2012,Andy Reid,16,4,12,0,0.25,0,0,0,,Marty Mornhinweg,"Todd Bowles, Juan Castillo",Eagles
2011,Andy Reid,16,8,8,0,0.5,0,0,0,,Marty Mornhinweg,Juan Castillo,Eagles
2010,Andy Reid,16,10,6,0,0.625,1,0,1,Lost WC,Marty Mornhinweg,Sean McDermott,Eagles
2009,Andy Reid,16,11,5,0,0.688,1,0,1,Lost WC,Marty Mornhinweg,Sean McDermott,Eagles
2008,Andy Reid,16,9,6,1,0.594,3,2,1,Lost Conf,Marty Mornhinweg,Jim Johnson,Eagles
2007,Andy Reid,16,8,8,0,0.5,0,0,0,,Marty Mornhinweg,Jim Johnson,Eagles
2006,Andy Reid,16,10,6,0,0.625,2,1,1,Lost Div,Marty Mornhinweg,Jim Johnson,Eagles
2005,Andy Reid,16,6,10,0,0.375,0,0,0,,Brad Childress,Jim Johnson,Eagles
2004,Andy Reid,16,13,3,0,0.813,3,2,1,Lost SB,Brad Childress,Jim Johnson,Eagles
2003,Andy Reid,16,12,4,0,0.75,2,1,1,Lost Conf,Brad Childress,Jim Johnson,Eagles
2002,Andy Reid,16,12,4,0,0.75,2,1,1,Lost Conf,Brad Childress,Jim Johnson,Eagles
2001,Andy Reid,16,11,5,0,0.688,3,2,1,Lost Conf,Rod Dowhower,Jim Johnson,Eagles
2000,Andy Reid,16,11,5,0,0.688,2,1,1,Lost Div,Rod Dowhower,Jim Johnson,Eagles
1999,Andy Reid,16,5,11,0,0.313,0,0,0,,Rod Dowhower,Jim Johnson,Eagles
1998,Ray Rhodes,16,3,13,0,0.188,0,0,0,,Dana Bible,Emmitt Thomas,Eagles
1997,Ray Rhodes,16,6,9,1,0.406,0,0,0,,Jon Gruden,Emmitt Thomas,Eagles
1996,Ray Rhodes,16,10,6,0,0.625,1,0,1,Lost WC,Jon Gruden,Emmitt Thomas,Eagles
1995,Ray Rhodes,16,10,6,0,0.625,2,1,1,Lost Div,Jon Gruden,Emmitt Thomas,Eagles
1994,Rich Kotite,16,7,9,0,0.438,0,0,0,,Zeke Bratkowski,Bud Carson,Eagles
1993,Rich Kotite,16,8,8,0,0.5,0,0,0,,Zeke Bratkowski,Bud Carson,Eagles
1992,Rich Kotite,16,11,5,0,0.688,2,1,1,Lost Div,,Bud Carson,Eagles
1991,Rich Kotite,16,10,6,0,0.625,0,0,0,,,Bud Carson,Eagles
1990,Buddy Ryan,16,10,6,0,0.625,1,0,1,Lost WC,Rich Kotite,Jeff Fisher,Eagles
1989,Buddy Ryan,16,11,5,0,0.688,1,0,1,Lost WC,Ted Plumb,Jeff Fisher,Eagles
1988,Buddy Ryan,16,10,6,0,0.625,1,0,1,Lost Div,Ted Plumb,Wade Phillips,Eagles
1987,Buddy Ryan,15,7,8,0,0.467,0,0,0,,Ted Plumb,Wade Phillips,Eagles
1986,Buddy Ryan,16,5,10,1,0.344,0,0,0,,Ted Plumb,Wade Phillips,Eagles
1985,Marion Campbell,15,6,9,0,0.4,0,0,0,,Ted Marchibroda,,Eagles
,Fred Bruney,1,1,0,0,1,0,0,0,,Ted Marchibroda,,Eagles
1984,Marion Campbell,16,6,9,1,0.406,0,0,0,,Ted Marchibroda,,Eagles
1983,Marion Campbell,16,5,11,0,0.313,0,0,0,,Dick Wood,,Eagles
1982,Dick Vermeil,9,3,6,0,0.333,0,0,0,,,Marion Campbell,Eagles
1981,Dick Vermeil,16,10,6,0,0.625,1,0,1,Lost WC,,Marion Campbell,Eagles
1980,Dick Vermeil,16,12,4,0,0.75,3,2,1,Lost SB,,Marion Campbell,Eagles
1979,Dick Vermeil,16,11,5,0,0.688,2,1,1,Lost Div,,Marion Campbell,Eagles
1978,Dick Vermeil,16,9,7,0,0.563,1,0,1,Lost WC,John Ralston,Marion Campbell,Eagles
1977,Dick Vermeil,14,5,9,0,0.357,0,0,0,,,Marion Campbell,Eagles
1976,Dick Vermeil,14,4,10,0,0.286,0,0,0,,John Idzik,John Mazur,Eagles
1975,Mike McCormack,14,4,10,0,0.286,0,0,0,,,,Eagles
1974,Mike McCormack,14,7,7,0,0.5,0,0,0,,,,Eagles
1973,Mike McCormack,14,5,8,1,0.393,0,0,0,,,,Eagles
1972,Ed Khayat,14,2,11,1,0.179,0,0,0,,Tom Fears,,Eagles
1971,Jerry Williams,3,0,3,0,0,0,0,0,,Tom Fears,,Eagles
,Ed Khayat,11,6,4,1,0.6,0,0,0,,Tom Fears,,Eagles
1970,Jerry Williams,14,3,10,1,0.231,0,0,0,,,,Eagles
1969,Jerry Williams,14,4,9,1,0.308,0,0,0,,,,Eagles
1968,Joe Kuharich,14,2,12,0,0.143,0,0,0,,,,Eagles
1967,Joe Kuharich,14,6,7,1,0.462,0,0,0,,,,Eagles
1966,Joe Kuharich,14,9,5,0,0.643,0,0,0,,,,Eagles
1965,Joe Kuharich,14,5,9,0,0.357,0,0,0,,,,Eagles
1964,Joe Kuharich,14,6,8,0,0.429,0,0,0,,,,Eagles
1963,Nick Skorich,14,2,10,2,0.167,0,0,0,,,,Eagles
1962,Nick Skorich,14,3,10,1,0.231,0,0,0,,,,Eagles
1961,Nick Skorich,14,10,4,0,0.714,0,0,0,,,,Eagles
1960,Buck Shaw,12,10,2,0,0.833,1,1,0,Won Champ,,,Eagles
1959,Buck Shaw,12,7,5,0,0.583,0,0,0,,,,Eagles
1958,Buck Shaw,12,2,9,1,0.182,0,0,0,,,,Eagles
1957,Hugh Devore,12,4,8,0,0.333,0,0,0,,,,Eagles
1956,Hugh Devore,12,3,8,1,0.273,0,0,0,,,,Eagles
1955,Jim Trimble,12,4,7,1,0.364,0,0,0,,,,Eagles
1954,Jim Trimble,12,7,4,1,0.636,0,0,0,,,,Eagles
1953,Jim Trimble,12,7,4,1,0.636,0,0,0,,,,Eagles
1952,Jim Trimble,12,7,5,0,0.583,0,0,0,,,,Eagles
1951,Bo McMillin,2,2,0,0,1,0,0,0,,,,Eagles
,Wayne Millner,10,2,8,0,0.2,0,0,0,,,,Eagles
1950,Greasy Neale,12,6,6,0,0.5,0,0,0,,,,Eagles
1949,Greasy Neale,12,11,1,0,0.917,1,1,0,Won Champ,,,Eagles
1948,Greasy Neale,12,9,2,1,0.818,1,1,0,Won Champ,,,Eagles
1947,Greasy Neale,12,8,4,0,0.667,2,1,1,Lost Champ,,,Eagles
1946,Greasy Neale,11,6,5,0,0.545,0,0,0,,,,Eagles
1945,Greasy Neale,10,7,3,0,0.7,0,0,0,,,,Eagles
1944,Greasy Neale,10,7,1,2,0.875,0,0,0,,,,Eagles
1943,Walt Kiesling,10,5,4,1,0.556,0,0,0,,,,Eagles
,Greasy Neale,10,5,4,1,0.556,0,0,0,,,,Eagles
1942,Greasy Neale,11,2,9,0,0.182,0,0,0,,,,Eagles
1941,Greasy Neale,11,2,8,1,0.2,0,0,0,,,,Eagles
1940,Bert Bell,11,1,10,0,0.091,0,0,0,,,,Eagles
1939,Bert Bell,11,1,9,1,0.1,0,0,0,,,,Eagles
1938,Bert Bell,11,5,6,0,0.455,0,0,0,,,,Eagles
1937,Bert Bell,11,2,8,1,0.2,0,0,0,,,,Eagles
1936,Bert Bell,12,1,11,0,0.083,0,0,0,,,,Eagles
1935,Lud Wray,11,2,9,0,0.182,0,0,0,,,,Eagles
1934,Lud Wray,11,4,7,0,0.364,0,0,0,,,,Eagles
1933,Lud Wray,9,3,5,1,0.375,0,0,0,,,,Eagles
2018,Jason Garrett,16,10,6,0,0.625,2,1,1,Lost Div,Scott Linehan,Rod Marinelli,Cowboys
2017,Jason Garrett,16,9,7,0,0.563,,,,,Scott Linehan,Rod Marinelli,Cowboys
2016,Jason Garrett,16,13,3,0,0.813,1,0,1,Lost Div,Scott Linehan,Rod Marinelli,Cowboys
2015,Jason Garrett,16,4,12,0,0.25,,,,,Scott Linehan,Rod Marinelli,Cowboys
2014,Jason Garrett,16,12,4,0,0.75,2,1,1,Lost Div,Bill Callahan,Rod Marinelli,Cowboys
2013,Jason Garrett,16,8,8,0,0.5,0,0,0,,Bill Callahan,Monte Kiffin,Cowboys
2012,Jason Garrett,16,8,8,0,0.5,0,0,0,,Bill Callahan,Rob Ryan,Cowboys
2011,Jason Garrett,16,8,8,0,0.5,0,0,0,,,Rob Ryan,Cowboys
2010,Jason Garrett,8,5,3,0,0.625,0,0,0,,,Paul Pasqualoni,Cowboys
,Wade Phillips,8,1,7,0,0.125,0,0,0,,Jason Garrett,Paul Pasqualoni,Cowboys
2009,Wade Phillips,16,11,5,0,0.688,2,1,1,Lost Div,Jason Garrett,,Cowboys
2008,Wade Phillips,16,9,7,0,0.563,0,0,0,,Jason Garrett,Brian Stewart,Cowboys
2007,Wade Phillips,16,13,3,0,0.813,1,0,1,Lost Div,Jason Garrett,Brian Stewart,Cowboys
2006,Bill Parcells,16,9,7,0,0.563,1,0,1,Lost WC,,Mike Zimmer,Cowboys
2005,Bill Parcells,16,9,7,0,0.563,0,0,0,,,Mike Zimmer,Cowboys
2004,Bill Parcells,16,6,10,0,0.375,0,0,0,,Maurice Carthon,Mike Zimmer,Cowboys
2003,Bill Parcells,16,10,6,0,0.625,1,0,1,Lost WC,Maurice Carthon,Mike Zimmer,Cowboys
2002,Dave Campo,16,5,11,0,0.313,0,0,0,,Bruce Coslet,Mike Zimmer,Cowboys
2001,Dave Campo,16,5,11,0,0.313,0,0,0,,Jack Reilly,Mike Zimmer,Cowboys
2000,Dave Campo,16,5,11,0,0.313,0,0,0,,Jack Reilly,Mike Zimmer,Cowboys
1999,Chan Gailey,16,8,8,0,0.5,1,0,1,Lost WC,,Dave Campo,Cowboys
1998,Chan Gailey,16,10,6,0,0.625,1,0,1,Lost WC,,Dave Campo,Cowboys
1997,Barry Switzer,16,6,10,0,0.375,0,0,0,,Ernie Zampese,Dave Campo,Cowboys
1996,Barry Switzer,16,10,6,0,0.625,2,1,1,Lost Div,Ernie Zampese,Dave Campo,Cowboys
1995,Barry Switzer,16,12,4,0,0.75,3,3,0,Won SB,Ernie Zampese,Dave Campo,Cowboys
1994,Barry Switzer,16,12,4,0,0.75,2,1,1,Lost Conf,Ernie Zampese,Butch Davis,Cowboys
1993,Jimmy Johnson,16,12,4,0,0.75,3,3,0,Won SB,Norv Turner,Butch Davis,Cowboys
1992,Jimmy Johnson,16,13,3,0,0.813,3,3,0,Won SB,Norv Turner,Dave Wannstedt,Cowboys
1991,Jimmy Johnson,16,11,5,0,0.688,2,1,1,Lost Div,Norv Turner,Dave Wannstedt,Cowboys
1990,Jimmy Johnson,16,7,9,0,0.438,0,0,0,,David Shula,Dave Wannstedt,Cowboys
1989,Jimmy Johnson,16,1,15,0,0.063,0,0,0,,David Shula,Dave Wannstedt,Cowboys
1988,Tom Landry,16,3,13,0,0.188,0,0,0,,,Ernie Stautner,Cowboys
1987,Tom Landry,15,7,8,0,0.467,0,0,0,,,Ernie Stautner,Cowboys
1986,Tom Landry,16,7,9,0,0.438,0,0,0,,,Ernie Stautner,Cowboys
1985,Tom Landry,16,10,6,0,0.625,1,0,1,Lost Div,,Ernie Stautner,Cowboys
1984,Tom Landry,16,9,7,0,0.563,0,0,0,,,Ernie Stautner,Cowboys
1983,Tom Landry,16,12,4,0,0.75,1,0,1,Lost WC,,Ernie Stautner,Cowboys
1982,Tom Landry,9,6,3,0,0.667,3,2,1,Lost Conf,,Ernie Stautner,Cowboys
1981,Tom Landry,16,12,4,0,0.75,2,1,1,Lost Conf,,Ernie Stautner,Cowboys
1980,Tom Landry,16,12,4,0,0.75,3,2,1,Lost Conf,Dan Reeves,Ernie Stautner,Cowboys
1979,Tom Landry,16,11,5,0,0.688,1,0,1,Lost Div,Dan Reeves,Ernie Stautner,Cowboys
1978,Tom Landry,16,12,4,0,0.75,3,2,1,Lost SB,Dan Reeves,Ernie Stautner,Cowboys
1977,Tom Landry,14,12,2,0,0.857,3,3,0,Won SB,Dan Reeves,Ernie Stautner,Cowboys
1976,Tom Landry,14,11,3,0,0.786,1,0,1,Lost Div,Jim Myers,Ernie Stautner,Cowboys
1975,Tom Landry,14,10,4,0,0.714,3,2,1,Lost SB,Jim Myers,Ernie Stautner,Cowboys
1974,Tom Landry,14,8,6,0,0.571,0,0,0,,Jim Myers,Ernie Stautner,Cowboys
1973,Tom Landry,14,10,4,0,0.714,2,1,1,Lost Conf,Jim Myers,Ernie Stautner,Cowboys
1972,Tom Landry,14,10,4,0,0.714,2,1,1,Lost Conf,,,Cowboys
1971,Tom Landry,14,11,3,0,0.786,3,3,0,Won SB,,,Cowboys
1970,Tom Landry,14,10,4,0,0.714,3,2,1,Lost SB,,,Cowboys
1969,Tom Landry,14,11,2,1,0.846,1,0,1,Lost Div,,,Cowboys
1968,Tom Landry,14,12,2,0,0.857,1,0,1,Lost Div,,,Cowboys
1967,Tom Landry,14,9,5,0,0.643,2,1,1,Lost Conf,,,Cowboys
1966,Tom Landry,14,10,3,1,0.769,1,0,1,Lost Conf,,,Cowboys
1965,Tom Landry,14,7,7,0,0.5,0,0,0,,,,Cowboys
1964,Tom Landry,14,5,8,1,0.385,0,0,0,,,,Cowboys
1963,Tom Landry,14,4,10,0,0.286,0,0,0,,,,Cowboys
1962,Tom Landry,14,5,8,1,0.385,0,0,0,,,,Cowboys
1961,Tom Landry,14,4,9,1,0.308,0,0,0,,,,Cowboys
1960,Tom Landry,12,0,11,1,0,0,0,0,,,,Cowboys
2018,Pat Shurmur,16,5,11,0,0.313,,,,,Mike Shula,James Bettcher,Giants
2017,Steve Spagnuolo,4,1,3,0,0.25,,,,,Mike Sullivan,,Giants
,Ben McAdoo,12,2,10,0,0.167,,,,,Mike Sullivan,Steve Spagnuolo,Giants
2016,Ben McAdoo,16,11,5,0,0.688,1,0,1,Lost WC,Mike Sullivan,Steve Spagnuolo,Giants
2015,Tom Coughlin,16,6,10,0,0.375,,,,,Ben McAdoo,Steve Spagnuolo,Giants
2014,Tom Coughlin,16,6,10,0,0.375,0,0,0,,Ben McAdoo,Perry Fewell,Giants
2013,Tom Coughlin,16,7,9,0,0.438,0,0,0,,Kevin Gilbride,Perry Fewell,Giants
2012,Tom Coughlin,16,9,7,0,0.563,0,0,0,,Kevin Gilbride,Perry Fewell,Giants
2011,Tom Coughlin,16,9,7,0,0.563,4,4,0,Won SB,Kevin Gilbride,Perry Fewell,Giants
2010,Tom Coughlin,16,10,6,0,0.625,0,0,0,,Kevin Gilbride,Perry Fewell,Giants
2009,Tom Coughlin,16,8,8,0,0.5,0,0,0,,Kevin Gilbride,Bill Sheridan,Giants
2008,Tom Coughlin,16,12,4,0,0.75,1,0,1,Lost Div,Kevin Gilbride,Steve Spagnuolo,Giants
2007,Tom Coughlin,16,10,6,0,0.625,4,4,0,Won SB,Kevin Gilbride,Steve Spagnuolo,Giants
2006,Tom Coughlin,16,8,8,0,0.5,1,0,1,Lost WC,John Hufnagel,Tim Lewis,Giants
2005,Tom Coughlin,16,11,5,0,0.688,1,0,1,Lost WC,John Hufnagel,Tim Lewis,Giants
2004,Tom Coughlin,16,6,10,0,0.375,0,0,0,,John Hufnagel,Tim Lewis,Giants
2003,Jim Fassel,16,4,12,0,0.25,0,0,0,,,Johnny Lynn,Giants
2002,Jim Fassel,16,10,6,0,0.625,1,0,1,Lost WC,Sean Payton,Johnny Lynn,Giants
2001,Jim Fassel,16,7,9,0,0.438,0,0,0,,Sean Payton,John Fox,Giants
2000,Jim Fassel,16,12,4,0,0.75,3,2,1,Lost SB,Sean Payton,John Fox,Giants
1999,Jim Fassel,16,7,9,0,0.438,0,0,0,,Jim Skipper,John Fox,Giants
1998,Jim Fassel,16,8,8,0,0.5,0,0,0,,Jim Skipper,John Fox,Giants
1997,Jim Fassel,16,10,5,1,0.656,1,0,1,Lost WC,Jim Skipper,John Fox,Giants
1996,Dan Reeves,16,6,10,0,0.375,0,0,0,,George Henshaw,Mike Nolan,Giants
1995,Dan Reeves,16,5,11,0,0.313,0,0,0,,George Henshaw,Mike Nolan,Giants
1994,Dan Reeves,16,9,7,0,0.563,0,0,0,,George Henshaw,Mike Nolan,Giants
1993,Dan Reeves,16,11,5,0,0.688,2,1,1,Lost Div,George Henshaw,Mike Nolan,Giants
1992,Ray Handley,16,6,10,0,0.375,0,0,0,,Jim Fassel,Rod Rust,Giants
1991,Ray Handley,16,8,8,0,0.5,0,0,0,,,Al Groh,Giants
1990,Bill Parcells,16,13,3,0,0.813,3,3,0,Won SB,Ron Erhardt,Bill Belichick,Giants
1989,Bill Parcells,16,12,4,0,0.75,1,0,1,Lost Div,Ron Erhardt,Bill Belichick,Giants
1988,Bill Parcells,16,10,6,0,0.625,0,0,0,,Ron Erhardt,Bill Belichick,Giants
1987,Bill Parcells,15,6,9,0,0.4,0,0,0,,Ron Erhardt,Bill Belichick,Giants
1986,Bill Parcells,16,14,2,0,0.875,3,3,0,Won SB,Ron Erhardt,Bill Belichick,Giants
1985,Bill Parcells,16,10,6,0,0.625,2,1,1,Lost Div,Ron Erhardt,Bill Belichick,Giants
1984,Bill Parcells,16,9,7,0,0.563,2,1,1,Lost Div,Ron Erhardt,,Giants
1983,Bill Parcells,16,3,12,1,0.219,0,0,0,,Ron Erhardt,,Giants
1982,Ray Perkins,9,4,5,0,0.444,0,0,0,,Ron Erhardt,Bill Parcells,Giants
1981,Ray Perkins,16,9,7,0,0.563,2,1,1,Lost Div,,Bill Parcells,Giants
1980,Ray Perkins,16,4,12,0,0.25,0,0,0,,,Ralph Hawkins,Giants
1979,Ray Perkins,16,6,10,0,0.375,0,0,0,,,Ralph Hawkins,Giants
1978,John McVay,16,6,10,0,0.375,0,0,0,,Bob Gibson,Dick Modzelewski,Giants
1977,John McVay,14,5,9,0,0.357,0,0,0,,Bob Gibson,Marty Schottenheimer,Giants
1976,Bill Arnsparger,7,0,7,0,0,0,0,0,,,,Giants
,John McVay,7,3,4,0,0.429,0,0,0,,,,Giants
1975,Bill Arnsparger,14,5,9,0,0.357,0,0,0,,,,Giants
1974,Bill Arnsparger,14,2,12,0,0.143,0,0,0,,,,Giants
1973,Alex Webster,14,2,11,1,0.179,0,0,0,,Joe Walton,Jim Garrett,Giants
1972,Alex Webster,14,8,6,0,0.571,0,0,0,,Joe Walton,Jim Garrett,Giants
1971,Alex Webster,14,4,10,0,0.286,0,0,0,,Joe Walton,Norb Hecker,Giants
1970,Alex Webster,14,9,5,0,0.643,0,0,0,,Ken Kavanaugh,Norb Hecker,Giants
1969,Alex Webster,14,6,8,0,0.429,0,0,0,,Ken Kavanaugh,Norb Hecker,Giants
1968,Allie Sherman,14,7,7,0,0.5,0,0,0,,,Harland Svare,Giants
1967,Allie Sherman,14,7,7,0,0.5,0,0,0,,,Harland Svare,Giants
1966,Allie Sherman,14,1,12,1,0.077,0,0,0,,,Pop Ivy,Giants
1965,Allie Sherman,14,7,7,0,0.5,0,0,0,,,Pop Ivy,Giants
1964,Allie Sherman,14,2,10,2,0.167,0,0,0,,,Andy Robustelli,Giants
1963,Allie Sherman,14,11,3,0,0.786,1,0,1,Lost Champ,Kyle Rote,Andy Robustelli,Giants
1962,Allie Sherman,14,12,2,0,0.857,1,0,1,Lost Champ,Kyle Rote,Andy Robustelli,Giants
1961,Allie Sherman,14,10,3,1,0.769,1,0,1,Lost Champ,Bill Austin,Harland Svare,Giants
1960,Jim Lee Howell,12,6,4,2,0.6,0,0,0,,Allie Sherman,,Giants
1959,Jim Lee Howell,12,10,2,0,0.833,1,0,1,Lost Champ,Allie Sherman,Tom Landry,Giants
1958,Jim Lee Howell,12,9,3,0,0.75,2,1,1,Lost Champ,Vince Lombardi,Tom Landry,Giants
1957,Jim Lee Howell,12,7,5,0,0.583,0,0,0,,Vince Lombardi,Tom Landry,Giants
1956,Jim Lee Howell,12,8,3,1,0.727,1,1,0,Won Champ,Vince Lombardi,Tom Landry,Giants
1955,Jim Lee Howell,12,6,5,1,0.545,0,0,0,,Vince Lombardi,Tom Landry,Giants
1954,Jim Lee Howell,12,7,5,0,0.583,0,0,0,,Vince Lombardi,Tom Landry,Giants
1953,Steve Owen,12,3,9,0,0.25,0,0,0,,,,Giants
1952,Steve Owen,12,7,5,0,0.583,0,0,0,,,,Giants
1951,Steve Owen,12,9,2,1,0.818,0,0,0,,,,Giants
1950,Steve Owen,12,10,2,0,0.833,1,0,1,Lost Div,,,Giants
1949,Steve Owen,12,6,6,0,0.5,0,0,0,,,,Giants
1948,Steve Owen,12,4,8,0,0.333,0,0,0,,,,Giants
1947,Steve Owen,12,2,8,2,0.2,0,0,0,,,,Giants
1946,Steve Owen,11,7,3,1,0.7,1,0,1,Lost Champ,,,Giants
1945,Steve Owen,10,3,6,1,0.333,0,0,0,,,,Giants
1944,Steve Owen,10,8,1,1,0.889,1,0,1,Lost Champ,,,Giants
1943,Steve Owen,10,6,3,1,0.667,1,0,1,Lost Div,,,Giants
1942,Steve Owen,11,5,5,1,0.5,0,0,0,,,,Giants
1941,Steve Owen,11,8,3,0,0.727,1,0,1,Lost Champ,,,Giants
1940,Steve Owen,11,6,4,1,0.6,0,0,0,,,,Giants
1939,Steve Owen,11,9,1,1,0.9,1,0,1,Lost Champ,,,Giants
1938,Steve Owen,11,8,2,1,0.8,1,1,0,Won Champ,,,Giants
1937,Steve Owen,11,6,3,2,0.667,0,0,0,,,,Giants
1936,Steve Owen,12,5,6,1,0.455,0,0,0,,,,Giants
1935,Steve Owen,12,9,3,0,0.75,1,0,1,Lost Champ,,,Giants
1934,Steve Owen,13,8,5,0,0.615,1,1,0,Won Champ,,,Giants
1933,Steve Owen,14,11,3,0,0.786,1,0,1,Lost Champ,,,Giants
1932,Steve Owen,12,4,6,2,0.4,0,0,0,,,,Giants
1931,Steve Owen,14,7,6,1,0.538,0,0,0,,,,Giants
1930,Roy Andrews,15,11,4,0,0.733,0,0,0,,,,Giants
,Benny Friedman,2,2,0,0,1,0,0,0,,,,Giants
,Steve Owen,2,2,0,0,1,,,,,,,Giants
1929,Roy Andrews,15,13,1,1,0.929,0,0,0,,,,Giants
1928,Earl Potteiger,13,4,7,2,0.364,0,0,0,,,,Giants
1927,Earl Potteiger,13,11,1,1,0.917,0,0,0,Won Champ,,,Giants
1926,Doc Alexander,13,8,4,1,0.667,0,0,0,,,,Giants
1925,Bob Folwell,12,8,4,0,0.667,0,0,0,,,,Giants
2018,Jay Gruden,16,7,9,0,0.438,,,,,Matt Cavanaugh,Greg Manusky,Redskins
2017,Jay Gruden,16,7,9,0,0.438,,,,,Matt Cavanaugh,Greg Manusky,Redskins
2016,Jay Gruden,16,8,7,1,0.531,,,,,Sean McVay,Joe Barry,Redskins
2015,Jay Gruden,16,9,7,0,0.563,1,0,1,Lost WC,Sean McVay,Joe Barry,Redskins
2014,Jay Gruden,16,4,12,0,0.25,0,0,0,,Sean McVay,Jim Haslett,Redskins
2013,Mike Shanahan,16,3,13,0,0.188,0,0,0,,Kyle Shanahan,Jim Haslett,Redskins
2012,Mike Shanahan,16,10,6,0,0.625,1,0,1,Lost WC,Kyle Shanahan,Jim Haslett,Redskins
2011,Mike Shanahan,16,5,11,0,0.313,0,0,0,,Kyle Shanahan,Jim Haslett,Redskins
2010,Mike Shanahan,16,6,10,0,0.375,0,0,0,,Kyle Shanahan,Jim Haslett,Redskins
2009,Jim Zorn,16,4,12,0,0.25,0,0,0,,Sherman Smith,Greg Blache,Redskins
2008,Jim Zorn,16,8,8,0,0.5,0,0,0,,Sherman Smith,Greg Blache,Redskins
2007,Joe Gibbs,16,9,7,0,0.563,1,0,1,Lost WC,"Don Breaux, Al Saunders",Gregg Williams,Redskins
2006,Joe Gibbs,16,5,11,0,0.313,0,0,0,,"Don Breaux, Al Saunders",Gregg Williams,Redskins
2005,Joe Gibbs,16,10,6,0,0.625,2,1,1,Lost Div,Don Breaux,Gregg Williams,Redskins
2004,Joe Gibbs,16,6,10,0,0.375,0,0,0,,Don Breaux,Gregg Williams,Redskins
2003,Steve Spurrier,16,5,11,0,0.313,0,0,0,,Hue Jackson,George Edwards,Redskins
2002,Steve Spurrier,16,7,9,0,0.438,0,0,0,,,Marvin Lewis,Redskins
2001,Marty Schottenheimer,16,8,8,0,0.5,0,0,0,,Jimmy Raye,Kurt Schottenheimer,Redskins
2000,Terry Robiskie,3,1,2,0,0.333,0,0,0,,,Ray Rhodes,Redskins
,Norv Turner,13,7,6,0,0.538,0,0,0,,,Ray Rhodes,Redskins
1999,Norv Turner,16,10,6,0,0.625,2,1,1,Lost Div,,Mike Nolan,Redskins
1998,Norv Turner,16,6,10,0,0.375,0,0,0,,,Mike Nolan,Redskins
1997,Norv Turner,16,8,7,1,0.531,0,0,0,,,Mike Nolan,Redskins
1996,Norv Turner,16,9,7,0,0.563,0,0,0,,,Ron Lynn,Redskins
1995,Norv Turner,16,6,10,0,0.375,0,0,0,,,Ron Lynn,Redskins
1994,Norv Turner,16,3,13,0,0.188,0,0,0,,,Ron Lynn,Redskins
1993,Richie Petitbon,16,4,12,0,0.25,0,0,0,,Rod Dowhower,Larry Peccatiello,Redskins
1992,Joe Gibbs,16,9,7,0,0.563,2,1,1,Lost Div,,"Larry Peccatiello, Richie Petitbon",Redskins
1991,Joe Gibbs,16,14,2,0,0.875,3,3,0,Won SB,,"Larry Peccatiello, Richie Petitbon",Redskins
1990,Joe Gibbs,16,10,6,0,0.625,2,1,1,Lost Div,,"Larry Peccatiello, Richie Petitbon",Redskins
1989,Joe Gibbs,16,10,6,0,0.625,0,0,0,,,"Larry Peccatiello, Richie Petitbon",Redskins
1988,Joe Gibbs,16,7,9,0,0.438,0,0,0,,,"Larry Peccatiello, Richie Petitbon",Redskins
1987,Joe Gibbs,15,11,4,0,0.733,3,3,0,Won SB,,"Larry Peccatiello, Richie Petitbon",Redskins
1986,Joe Gibbs,16,12,4,0,0.75,3,2,1,Lost Conf,,"Larry Peccatiello, Richie Petitbon",Redskins
1985,Joe Gibbs,16,10,6,0,0.625,0,0,0,,,"Larry Peccatiello, Richie Petitbon",Redskins
1984,Joe Gibbs,16,11,5,0,0.688,1,0,1,Lost Div,,"Larry Peccatiello, Richie Petitbon",Redskins
1983,Joe Gibbs,16,14,2,0,0.875,3,2,1,Lost SB,,Richie Petitbon,Redskins
1982,Joe Gibbs,9,8,1,0,0.889,4,4,0,Won SB,Joe Bugel,Richie Petitbon,Redskins
1981,Joe Gibbs,16,8,8,0,0.5,0,0,0,,Joe Bugel,Richie Petitbon,Redskins
1980,Jack Pardee,16,6,10,0,0.375,0,0,0,,Joe Walton,Richard Urich,Redskins
1979,Jack Pardee,16,10,6,0,0.625,0,0,0,,Joe Walton,,Redskins
1978,Jack Pardee,16,8,8,0,0.5,0,0,0,,Joe Walton,,Redskins
1977,George Allen,14,9,5,0,0.643,0,0,0,,,LaVern Torgeson,Redskins
1976,George Allen,14,10,4,0,0.714,1,0,1,Lost Div,,LaVern Torgeson,Redskins
1975,George Allen,14,8,6,0,0.571,0,0,0,,,LaVern Torgeson,Redskins
1974,George Allen,14,10,4,0,0.714,1,0,1,Lost Div,,LaVern Torgeson,Redskins
