Coach,Defense,Offense,Team,Week,Year
Chuck Pagano,Greg Manusky,Pep Hamilton,Colts,6,2014
Chuck Pagano,Greg Manusky,Pep Hamilton,Colts,7,2014
Chuck Pagano,Greg Manusky,Pep Hamilton,Colts,8,2014
Chuck Pagano,Greg Manusky,Pep Hamilton,Colts,9,2014
Chuck Pagano,Greg Manusky,Pep Hamilton,Colts,10,2014
Chuck Pagano,Greg Manusky,Pep Hamilton,Colts,11,2014
Chuck Pagano,Greg Manusky,Pep Hamilton,Colts,12,2014
Chuck Pagano,Greg Manusky,Pep Hamilton,Colts,13,2014
Chuck Pagano,Greg Manusky,Pep Hamilton,Colts,14,2014
Chuck Pagano,Greg Manusky,Pep Hamilton,Colts,15,2014
Chuck Pagano,Greg Manusky,Pep Hamilton,Colts,16,2014
Chuck Pagano,Greg Manusky,Pep Hamilton,Colts,17,2014
Chuck Pagano,Greg Manusky,"Rob Chudzinski, Pep Hamilton",Colts,1,2015
Chuck Pagano,Greg Manusky,"Rob Chudzinski, Pep Hamilton",Colts,2,2015
Chuck Pagano,Greg Manusky,"Rob Chudzinski, Pep Hamilton",Colts,3,2015
Chuck Pagano,Greg Manusky,"Rob Chudzinski, Pep Hamilton",Colts,4,2015
Chuck Pagano,Greg Manusky,"Rob Chudzinski, Pep Hamilton",Colts,5,2015
Chuck Pagano,Greg Manusky,"Rob Chudzinski, Pep Hamilton",Colts,6,2015
Chuck Pagano,Greg Manusky,"Rob Chudzinski, Pep Hamilton",Colts,7,2015
Chuck Pagano,Greg Manusky,"Rob Chudzinski, Pep Hamilton",Colts,8,2015
Chuck Pagano,Greg Manusky,"Rob Chudzinski, Pep Hamilton",Colts,9,2015
Chuck Pagano,Greg Manusky,"Rob Chudzinski, Pep Hamilton",Colts,10,2015
Chuck Pagano,Greg Manusky,"Rob Chudzinski, Pep Hamilton",Colts,11,2015
Chuck Pagano,Greg Manusky,"Rob Chudzinski, Pep Hamilton",Colts,12,2015
Chuck Pagano,Greg Manusky,"Rob Chudzinski, Pep Hamilton",Colts,13,2015
